FINESS_ET;FINESS_EJ;RAISON_SOCIALE;RAISON_SOCIALE_ENTITE_JURIDIQUE;ADRESSE_ADMINISTRATIVE_1;ADRESSE_ADMINISTRATIVE_2;NUM_VOIE;CPT_NUM;TYPE_VOIE;VOIE;ADRESSE_COMPLETE;COMPLEMENT_ADRESSE;NUM_DEPT;DEPT;CP_VILLE;NUM_TEL;NUM_FAX;NUM_CAT;CATEGORIE_DE_L_ETABLISSEMENT;NUM_TYPE;TYPE_ETABLISSEMENT;NUM_SIRET;CODE_APE;CODE_TARIF;LIB_TARIFICATION;CODE_PSPH;PARTICIPANT_SERVICE_PUBLIC_HOSPITALIER;DATE_OUVERTURE;lat;lng;WGS84
920014719;780140059;CATTP;;;;119;;AV;PABLO PICASSO;119 AV PABLO PICASSO;;92;HAUTS-DE-SEINE;92000 NANTERRE;01 47 76 37 28;;425;Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26780244500408;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;2007-02-27;48.8889165;2.2250253;48.8889165,2.2250253
920600061;920001146;FONDATION PAUL PARQUET;POUPONNIERE CENTRE D'HYGIENE INFANTILE PAUL PARQUET;;;41;;BD;PAUL EMILE VICTOR;41 BD PAUL EMILE VICTOR;;92;HAUTS-DE-SEINE;92200 NEUILLY SUR SEINE;01 46 24 97 28;01 46 24 70 25;173;Pouponnière à Caractère Sanitaire;1112;Etablissements d'Enfants à Caractère Sanitaire;78542380700011;8610Z;15;ARS privé hors PSPH sous dotation globale;7;Etab de santé privé non lucratif, non déclar intérêt collect;1922-01-01;48.8932559;2.2625855;48.8932559,2.2625855
920000643;920150034;IHFB - SITE KLEBER;INSTITUT HOSPITALIER FRANCO-BRITANNIQUE SITE KLEBER;;;4;;R;KLÉBER;4 R KLÉBER;;92;HAUTS-DE-SEINE;92309 LEVALLOIS PERRET CEDEX;01 47 59 59 59;01 47 59 59 60;365;Etablissement de Soins Pluridisciplinaire;1110;Etablissements de Soins de Courte Durée;77734342700012;;4;ARS établissements PSPH dotation globale;6;Etablissement de santé privé d’intérêt collectif;1945-01-01;48.8921716;2.2786588;48.8921716,2.2786588
910013259;910110063;CMP DE MASSY;;;;15;;AV;NATIONALE;15 AV NATIONALE;;91;ESSONNE;91300 MASSY;01 69 20 07 64;01 69 20 07 64;156;Centre Médico-Psychologique (C.M.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26910224000190;8610Z;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;2006-01-01;48.7285444;2.2859729;48.7285444,2.2859729
950000315;950001370;CHI  DES PORTES DE L'OISE A BEAUMONT;CENTRE HOSPITALIER FRITSCHI-BEAUMONT-SUR-OISE;;;25;;R;EDMOND TURCQ;25 R EDMOND TURCQ;;95;VAL-D'OISE;95260 BEAUMONT SUR OISE;01 39 37 15 20;01 39 37 17 99;355;Centre Hospitalier (C.H.);1102;Centres Hospitaliers;26950262100015;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1901-01-01;49.1448415;2.2913477;49.1448415,2.2913477
750802696;750140014;CENTRE  MATHURIN REGNIER;CENTRE MEDICO-PSYCHOLOGIQUE - CHS SAINTE ANNE SECTEUR 14;;SA SECTEUR 14;14;;R;MATHURIN REGNIER;14 R MATHURIN REGNIER;;75;PARIS;75015 PARIS;01 44 38 52 70;01 44 38 52 79;156;Centre Médico-Psychologique (C.M.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26750064300171;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1904-04-04;48.8404815;2.30717;48.8404815,2.30717
930812078;930140025;CATTP;;;;19;;AV;VICTOR HUGO;19 AV VICTOR HUGO;;93;SEINE-SAINT-DENIS;93370 MONTFERMEIL;01 43 30 67 99;;425;Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26930093500484;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1904-04-04;48.9021491;2.5610166;48.9021491,2.5610166
770001295;770700185;HOPITAL DE JOUR DE PSYCHIATRIE;;;;40;;AV;DE VERDUN;40 AV DE VERDUN;;77;SEINE-ET-MARNE;77290 MITRY MORY;01 64 67 75 73;01 64 27 18 99;355;Centre Hospitalier (C.H.);1102;Centres Hospitaliers;26770933500074;8610Z;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1904-04-04;48.9548076;2.5975081;48.9548076,2.5975081
770813400;770001014;CLINIQUE MEDICO-CHIRURGICALE ST FARON;CLINIQUE MEDICO-CHIRURGICALE SAINT-FARON;;;1143;;R;CHARLES DE GAULLE;1143 R CHARLES DE GAULLE;LIEUDIT LES MONTAUBANS;77;SEINE-ET-MARNE;77100 MAREUIL LES MEAUX;08 26 20 77 27;01 60 23 47 98;365;Etablissement de Soins Pluridisciplinaire;1110;Etablissements de Soins de Courte Durée;74575133900029;8610Z;7;ARS établissements de santé non financés dotation globale;0;Non concerné;1990-04-27;48.9409136;2.8736526;48.9409136,2.8736526
780018248;780110078;ANTENNE CMP ENFANTS;;CENTRE SOCIO CULT DES PETITS BOI;;50;;R;BERTHIER;50 R BERTHIER;;78;YVELINES;78000 VERSAILLES;01 39 63 90 90;;156;Centre Médico-Psychologique (C.M.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26780271800036;8610Z;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;2007-01-29;48.8108658;2.1337726;48.8108658,2.1337726
920023637;600100028;CATTP ADULTES;;DU CH COURBEVOIE-NEUILLY/SEINE;;11;;R;DU COMMANDANT LAMY;11 R DU COMMANDANT LAMY;;92;HAUTS-DE-SEINE;92400 COURBEVOIE;01 41 16 97 27;;292;Centre Hospitalier Spécialisé lutte Maladies Mentales;1103;Centres Hospitaliers Spécialisés Lutte Maladies Mentales;26920002800109;8610Z;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1994-11-15;48.9071807;2.2713663;48.9071807,2.2713663
920000635;920150026;HOPITAL SUISSE DE PARIS;HOPITAL SUISSE DE PARIS;;;10;;R;MINARD;10 R MINARD;;92;HAUTS-DE-SEINE;92130 ISSY LES MOULINEAUX;01 41 33 11 00;01 46 38 27 67;129;Etablissement de Soins Médicaux;1110;Etablissements de Soins de Courte Durée;78537608800015;8610Z;4;ARS établissements PSPH dotation globale;6;Etablissement de santé privé d’intérêt collectif;1970-04-27;48.8238356;2.2775319;48.8238356,2.2775319
750300881;750000937;CLINIQUE CHIRURGICALE DU TROCADERO;CLINIQUE CHIRURGICALE DU TROCADERO;;;62;;R;DE LA TOUR;62 R DE LA TOUR;;75;PARIS;75116 PARIS;01 40 72 40 40;01 40 72 40 68;128;Etablissement de Soins Chirurgicaux;1110;Etablissements de Soins de Courte Durée;35050813100025;;7;ARS établissements de santé non financés dotation globale;0;Non concerné;1959-12-05;48.8602135;2.2809349;48.8602135,2.2809349
750300154;750000671;MAISON DE CHIRURGIE CLINIQUE TURIN;;;;9;;R;DE TURIN;9 R DE TURIN;;75;PARIS;75008 PARIS;01 40 08 89 96;01 40 08 89 89;365;Etablissement de Soins Pluridisciplinaire;1110;Etablissements de Soins de Courte Durée;57220421200011;8610Z;7;ARS établissements de santé non financés dotation globale;0;Non concerné;1910-04-04;48.8801161;2.3250706;48.8801161,2.3250706
930001466;930140025;CENTRE MEDICO PSYCH.ALLIANCE;;;;9;;R;ALLIANCE;9 R ALLIANCE;;93;SEINE-SAINT-DENIS;93400 ST OUEN;01 40 10 89 40;;156;Centre Médico-Psychologique (C.M.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26930093500393;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1993-01-01;48.9102823;2.3364276;48.9102823,2.3364276
750100018;750712184;HOPITAL HOTEL-DIEU (AP-HP);HOPITAL DE L'HOTEL-DIEU (A.P. - H.P.);;;1;;PL;DU PARVIS NOTRE-DAME;1 PL DU PARVIS NOTRE-DAME;;75;PARIS;75181 PARIS CEDEX 04;01 42 34 82 34;01 42 34 80 65;101;Centre Hospitalier Régional (C.H.R.);1101;Centres Hospitaliers Régionaux;26750045200599;8610Z;2;Autorité Ministérielle;1;Etablissement public de santé;1904-04-04;48.8535813;2.3489153;48.8535813,2.3489153
940170137;750721391;HOPITAL JOUR DE CHEVILLY LARUE;;;;50;;R;DU PETIT LEROY;50 R DU PETIT LEROY;;94;VAL-DE-MARNE;94550 CHEVILLY LARUE;01 46 86 85 76;01 45 60 06 34;161;Maison de Santé pour Maladies Mentales;1111;Autres Etablissements de Lutte contre les Maladies Mentales;77567634900183;;15;ARS privé hors PSPH sous dotation globale;7;Etab de santé privé non lucratif, non déclar intérêt collect;1978-04-09;48.7717798;2.3568321;48.7717798,2.3568321
750802662;750720914;CMP ADULTES PHILIPPE PAUMELLE ASM 13;CMP ADULTES PHILIPPE PAUMELLE -EAU VIVE 75G12;;EAU VIVE 75G12;11;;R;ALBERT BAYET;11 R ALBERT BAYET;;75;PARIS;75013 PARIS;01 40 77 44 00;;156;Centre Médico-Psychologique (C.M.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;;;4;ARS établissements PSPH dotation globale;6;Etablissement de santé privé d’intérêt collectif;2006-02-27;48.8305604;2.358838;48.8305604,2.358838
910012509;910140029;CENTRE L'IMAGERIE;;;;10;;PL;DE LA CARPE;10 PL DE LA CARPE;;91;ESSONNE;91170 VIRY CHATILLON;01 69 45 56 24;;292;Centre Hospitalier Spécialisé lutte Maladies Mentales;1103;Centres Hospitaliers Spécialisés Lutte Maladies Mentales;;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;2006-01-01;48.6547551;2.3725072;48.6547551,2.3725072
930005509;930140025;CENTRE MEDICO PSYCHOLOGIQUE;;;;49;;R;DES MARAIS;49 R DES MARAIS;;93;SEINE-SAINT-DENIS;93000 BOBIGNY;01 48 95 20 72;;156;Centre Médico-Psychologique (C.M.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26930093500120;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;2003-01-01;48.9062952;2.4368903;48.9062952,2.4368903
930011309;930140025;HÔPITAL DE JOUR 93G10 MONTREUIL;;;;28;;AV;PASTEUR;28 AV PASTEUR;;93;SEINE-SAINT-DENIS;93100 MONTREUIL;;;292;Centre Hospitalier Spécialisé lutte Maladies Mentales;1103;Centres Hospitaliers Spécialisés Lutte Maladies Mentales;26930093500567;8610Z;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;2004-01-06;48.8671435;2.444103;48.8671435,2.444103
940800709;940140023;FOYER DE POST CURE DE 2 SECT;FOYER DE POST CURE DU 2E SECTEUR;VILLA LELLIA;;1;;PL;DU 11 NOVEMBRE 1918;1 PL DU 11 NOVEMBRE 1918;;94;VAL-DE-MARNE;94360 BRY SUR MARNE;01 55 09 20 44;01 48 81 76 57;430;Centre Postcure Malades Mentaux;1111;Autres Etablissements de Lutte contre les Maladies Mentales;26940134500096;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1982-01-01;48.83916;2.5224;48.83916,2.5224
770002046;750034308;CATTP ADULTES;CENTRE D'ACCUEIL THERAPEUTIQUE A TEMPS PARTIEL;;;5;;R;DE BORDEAUX;5 R DE BORDEAUX;;77;SEINE-ET-MARNE;77500 CHELLES;01 64 72 16 17;;425;Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26930124800416;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1995-06-26;48.8709391;2.5734724;48.8709391,2.5734724
770810125;770170017;CTRE MEDICO-PSYCHOLOGIQUE 77-I01;DISPENSAIRE D HYGIENE MENTALE PSYCHIATRIE INFANTO JUVENILE;;QUARTIER DU BOIS BRIARD;3;;R;DES AULNES;3 R DES AULNES;;77;SEINE-ET-MARNE;77680 ROISSY EN BRIE;01 60 28 63 56;01 60 64 26 98;156;Centre Médico-Psychologique (C.M.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26770934300102;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1904-04-04;48.7973057;2.6427641;48.7973057,2.6427641
750038739;750043994;CTRE DE RÉÉDUC. FCTIONNELLE PORT-ROYAL;CENTRE DE RÉÉDUCATION FONCTIONNELLE PORT ROYAL;;;9;;R;MÉCHAIN;9 R MÉCHAIN;;75;PARIS;75014 PARIS;;;135;Etablissement Réadaptation Fonctionnelle;1107;Etablissements de Soins de Suite et de Réadaptation;30116075000644;;7;ARS établissements de santé non financés dotation globale;0;Non concerné;2011-05-12;48.8356021;2.3400545;48.8356021,2.3400545
750000499;750140014;CENTRE HOSPITALIER STE-ANNE;CENTRE HOSPITALIER SAINTE-ANNE DE PARIS;;;1;;R;CABANIS;1 R CABANIS;;75;PARIS;75674 PARIS CEDEX 14;01 45 65 80 00;01 45 65 83 62;292;Centre Hospitalier Spécialisé lutte Maladies Mentales;1103;Centres Hospitaliers Spécialisés Lutte Maladies Mentales;26750064300015;8610Z;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1901-01-01;48.8302646;2.3412612;48.8302646,2.3412612
750510042;750721391;FOYER DE POST-CURE L'ELAN RETROUVE;FOYER DE POST-CURE L'ELAN RETROUVE;;;6;;R;TROLLEY DE PREVAUX;6 R TROLLEY DE PREVAUX;;75;PARIS;75013 PARIS;01 53 94 21 21;01 53 94 21 20;430;Centre Postcure Malades Mentaux;1111;Autres Etablissements de Lutte contre les Maladies Mentales;77567634900068;;4;ARS établissements PSPH dotation globale;6;Etablissement de santé privé d’intérêt collectif;1995-09-26;48.8262592;2.3731388;48.8262592,2.3731388
930704754;930140025;CENTRE MEDICO-PSYCHOLOGIQUE;CENTRE MEDICO-PSYCHOLOGIQUE INFANTILE;;;86;;AV;DIVISION LECLERC;86 AV DIVISION LECLERC;;93;SEINE-SAINT-DENIS;93350 LE BOURGET;01 48 36 86 28;;156;Centre Médico-Psychologique (C.M.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26930093500179;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1904-04-04;48.9367524;2.4277955;48.9367524,2.4277955
910310010;750052326;CLINIQUE CHATEAU DU BEL AIR;CLINIQUE CHATEAU DU BEL AIR - GROUPE CLINEA;;;35;;R;ALBERT THOMAS;35 R ALBERT THOMAS;;91;ESSONNE;91560 CROSNE;01 69 49 11 00;;161;Maison de Santé pour Maladies Mentales;1111;Autres Etablissements de Lutte contre les Maladies Mentales;41011378100026;8610Z;7;ARS établissements de santé non financés dotation globale;0;Non concerné;1953-04-04;48.7226421;2.4571126;48.7226421,2.4571126
910000306;910110063;CENTRE HOSPITALIER D'ORSAY;;;;4;;PL;DU GENERAL LECLERC;4 PL DU GENERAL LECLERC;B.P. 27;91;ESSONNE;91401 ORSAY CEDEX;01 69 29 75 75;01 69 07 48 14;355;Centre Hospitalier (C.H.);1102;Centres Hospitaliers;26910224000018;8610Z;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1904-04-04;48.69867;2.1872302;48.69867,2.1872302
920810553;950140012;CMP ENFANTS 92I01 (P. BEREGOVOY);CENTRE MEDICO PSYCHOLOGIQUE INFANTO-JUVENILE;;;27;;R;PIERRE BEREGOVOY;27 R PIERRE BEREGOVOY;;92;HAUTS-DE-SEINE;92110 CLICHY;01 41 06 63 50;01 41 06 63 53;156;Centre Médico-Psychologique (C.M.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26950008800126;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1986-01-01;48.9042765;2.2993322;48.9042765,2.2993322
780809307;780002697;CENTRE MEDICO-PSY.78G01;CENTRE MEDICO-PSYCHOLOGIQUE ADULTES 78G01;;;8;;R;MOZART;8 R MOZART;;78;YVELINES;78200 MANTES LA JOLIE;01 30 63 04 04;01 30 33 50 91;156;Centre Médico-Psychologique (C.M.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26780238700139;8610Z;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1904-04-04;48.9981787;1.6793431;48.9981787,1.6793431
910300045;910002419;"CLINIQUE MEDICALE ""JARDINS DE BRUNOY""";"CLINIQUE MEDICALE ""LES JARDINS DE BRUNOY""";;;38;;RTE;DE BRIE;38 RTE DE BRIE;;91;ESSONNE;91800 BRUNOY;01 60 47 97 97;01 60 46 75 13;108;Etablissement de Convalescence et de Repos;1107;Etablissements de Soins de Suite et de Réadaptation;40324936000039;8610Z;7;ARS établissements de santé non financés dotation globale;0;Non concerné;1960-04-04;48.7021159;2.5106303;48.7021159,2.5106303
770003515;770170017;CTRE MEDICO-PSYCHOL.TOURNESOLS;;;;10;;R;DELAMBRE;10 R DELAMBRE;;77;SEINE-ET-MARNE;77400 LAGNY SUR MARNE;01 64 12 28 06;01 64 30 06 70;156;Centre Médico-Psychologique (C.M.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1997-01-01;48.8790334;2.7062639;48.8790334,2.7062639
770803120;770110013;CMP ADULTE 77G09-10;DISPENSAIRE D'HYGIENE MENTALE SECTEUR PSYCHIATRIQUE NO: 5;;;;;PL;PIERRE DE COUBERTIN;PL PIERRE DE COUBERTIN;;77;SEINE-ET-MARNE;77610 FONTENAY TRESIGNY;01 64 42 79 93;01 64 42 79 96;156;Centre Médico-Psychologique (C.M.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26770948300221;8610Z;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1904-04-04;48.709931;2.8704863;48.709931,2.8704863
950805911;950110080;CATTP PETITE ENFANCE;"CENTRE DES TOUT-PETITS ""ST CHRISTOPHE"" - INTERSECTEUR 95 I 0";;;6;;AV;MONDETOUR;6 AV MONDETOUR;;95;VAL-D'OISE;95000 CERGY;01 30 73 99 98;01 30 73 99 98;425;Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26950015300144;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1904-04-04;49.0467903;2.0350328;49.0467903,2.0350328
780823514;780140026;CENTRE MEDICO PSY.SECT.78-I-04;;;;3;;R;MARCEAU;3 R MARCEAU;;78;YVELINES;78210 ST CYR L ECOLE;01 30 45 06 04;;156;Centre Médico-Psychologique (C.M.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26780010000260;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1904-04-04;48.8026898;2.0614829;48.8026898,2.0614829
780823266;780140059;CTRE MEDICO-PSY SECT.78-I-3;;;;25;;R;MESNIL;25 R MESNIL;;78;YVELINES;78600 MAISONS LAFFITTE;01 39 62 03 38;01 34 93 40 95;156;Centre Médico-Psychologique (C.M.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26780244500143;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1904-04-04;48.9450237;2.1496077;48.9450237,2.1496077
920005238;750043994;CLINIQUE DU PONT DE SEVRES;;;;76;;R;DE  SILLY;76 R DE  SILLY;;92;HAUTS-DE-SEINE;92100 BOULOGNE BILLANCOURT;08 26 96 92 92;;108;Etablissement de Convalescence et de Repos;1107;Etablissements de Soins de Suite et de Réadaptation;30116075000404;8610Z;7;ARS établissements de santé non financés dotation globale;0;Non concerné;2008-06-05;48.8365478;2.2322864;48.8365478,2.2322864
910808278;910140029;CENTRE MEDICO-PSY. 91 I01;DISPENSAIRE HYGIENE MENTALE   INTERSECTEUR I INFANTO JUVENIL;;;16;;R;LUISANT;16 R LUISANT;;91;ESSONNE;91310 MONTLHERY;01 64 49 02 02;01 64 49 99 32;156;Centre Médico-Psychologique (C.M.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26910009500232;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1904-04-04;48.639619;2.2686514;48.639619,2.2686514
920300563;920000932;CENTRE LAENNEC MPR;CENTRE LAENNEC DE MEDECINE PHYSIQUE ET RÉADAPTATION;;;21;;R;MAXIMILIEN ROBESPIERRE;21 R MAXIMILIEN ROBESPIERRE;;92;HAUTS-DE-SEINE;92240 MALAKOFF;01 55 22 66 66;01 46 57 01 66;135;Etablissement Réadaptation Fonctionnelle;1107;Etablissements de Soins de Suite et de Réadaptation;61203662400015;8610Z;7;ARS établissements de santé non financés dotation globale;0;Non concerné;1961-01-01;48.8105501;2.2947826;48.8105501,2.2947826
920810496;950140012;HOPITAL DE JOUR 92I01 GENNEVILLIERS;HOPITAL DE JOUR INFANTO-JUVENILE;;;6;;R;DANTON;6 R DANTON;;92;HAUTS-DE-SEINE;92230 GENNEVILLIERS;01 41 32 25 30;01 41 32 25 69;292;Centre Hospitalier Spécialisé lutte Maladies Mentales;1103;Centres Hospitaliers Spécialisés Lutte Maladies Mentales;26950008800043;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1972-01-04;48.917484;2.2982448;48.917484,2.2982448
920810579;950140012;CMP ADULTES 92G03 (FANNY);CENTRE MEDICO - PSYCHOLOGIQUE POUR ADULTES;;;12;;R;FANNY;12 R FANNY;;92;HAUTS-DE-SEINE;92110 CLICHY;01 41 06 63 70;01 41 06 63 79;156;Centre Médico-Psychologique (C.M.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26950008800134;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1986-01-01;48.8994779;2.3153532;48.8994779,2.3153532
